cycle,px_hex,py_hex,v_hex,theta_hex,omega_hex,a_hex,z_hex,vz_hex,az_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex,p88_hex,p99_hex
103,00001A60610B,00002AB5D190,FFFFFFBC161C,000000152DB5,FFFFFFFFF7D1,00000001B235,00000B818158,FFFFFFCAB41B,000000000E8B,000001210D6B,000002020552,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
104,00001A0EA15D,00002BECCC71,FFFFFFBC46BF,000000159F84,FFFFFFFFF7C1,000000030A06,00000BB905AE,FFFFFFCB892A,0000000010A1,0000011F9FAE,000001FEF7CF,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
105,000019779E78,00002C1DD643,FFFFFFBB6D84,0000001577D2,FFFFFFFFF7B5,000000019F80,00000B47C934,FFFFFFC9E381,000000000C68,0000012674E0,00000202B406,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
106,000019247769,00002B86383E,FFFFFFBA8BBE,00000015AF61,FFFFFFFFF7B5,FFFFFFFFB01C,00000B25C15E,FFFFFFC967CB,000000000B26,000001238AC9,000001FE24B7,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
107,000018F3F5A4,00002B133ECA,FFFFFFB9B3C8,000000145F90,FFFFFFFFF7A9,FFFFFFFF3DDA,00000BC92C51,FFFFFFCBD2BE,00000000114A,000001212620,000002043CDB,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
108,00001819AFD6,00002B05DAF3,FFFFFFB6E454,000000128F0D,FFFFFFFFF7B7,FFFFFFFFCB74,00000BDBE43D,FFFFFFCC1D66,000000001205,00000120DE71,000002004FAE,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
109,000017E529D4,00002CF3C34D,FFFFFFB702AF,00000012A388,FFFFFFFFF7B0,0000000368D6,00000BB78B05,FFFFFFCB98E3,0000000010A9,0000011F69DB,000002014914,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
110,00001764D10F,00002BB8DEEF,FFFFFFB5E15F,00000011835D,FFFFFFFFF795,FFFFFFFF3A68,00000B6DE608,FFFFFFCA8822,000000000DEA,000001219FFA,000001FE959C,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
111,0000169E83C4,00002DD716F8,FFFFFFB3D4E6,00000010A201,FFFFFFFFF7A9,0000000384F9,00000B2AE6C2,FFFFFFC99065,000000000B6D,0000012276E4,0000020638D7,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
112,000015FBDA50,00002CC20554,FFFFFFB24C1F,0000000E6F0E,FFFFFFFFF788,FFFFFFFF5DCB,00000B34883A,FFFFFFC9B8EB,000000000BD3,00000120B286,00000200EDE3,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
113,0000158D615A,00002C724625,FFFFFFB04EAE,0000000E2A3F,FFFFFFFFF78A,FFFFFFFF580E,00000B2BB45D,FFFFFFC99C02,000000000B8A,00000121A4A8,000002032056,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
114,000015606808,00002CF055D5,FFFFFFAFCA2F,0000000E10D9,FFFFFFFFF783,000000009DCA,00000AE4A559,FFFFFFC89507,0000000008E5,000001209121,000002026C66,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
115,0000150F21A6,00002C3622E2,FFFFFFAF0153,0000000E3ECB,FFFFFFFFF783,FFFFFFFFC5AD,00000A61520E,FFFFFFC6AB66,0000000003FC,000001253478,00000200E208,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
116,000014561ABE,00002DB03F61,FFFFFFAC5604,0000000D5088,FFFFFFFFF77E,000000028378,00000AACF119,FFFFFFC7CC2E,0000000006D7,00000122B1AD,00000207C757,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
117,00001478D3B9,00002EDDCBCA,FFFFFFADC331,0000000E8C27,FFFFFFFFF775,000000030864,00000AB26523,FFFFFFC7E4F5,00000000070C,000001262910,0000020860F2,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
118,000013EB1EB6,00002D48676A,FFFFFFA249E0,0000000A9634,FFFFFFFFF759,000000001490,00000AC39E41,FFFFFFC829F1,0000000007B8,00000121885D,00000205BABB,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
119,00001315EF92,00002EC8973D,FFFFFF9B125D,00000011C889,FFFFFFFFF761,0000000401F6,00000A8481ED,FFFFFFC740DB,000000000560,00000127B8EB,000001FF5FC8,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
120,0000129B17DE,00003021A8CF,FFFFFF9B30AD,00000011CB5D,FFFFFFFFF758,0000000433F4,00000A9F42D3,FFFFFFC7A9CF,000000000660,00000129EFEB,000001FE1487,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
121,00001237E34C,00002F7E41A5,FFFFFF9AC992,00000011D7DE,FFFFFFFFF74B,000000006700,00000A95F8D9,FFFFFFC78B36,000000000609,00000129D20C,000001FD36EE,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
122,000011C664F8,00002F0078B9,FFFFFF9A1747,0000001436FD,FFFFFFFFF747,FFFFFFFFACD9,00000ABED147,FFFFFFC82929,000000000794,000001224675,000001FFA6B8,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
123,00001111174D,00002F44C99B,FFFFFF9766AE,0000000B8B07,FFFFFFFFF74F,000000009780,00000AFE956E,FFFFFFC91D54,0000000009FB,000001206C00,000001FE5C12,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
124,0000110D727D,000030367E05,FFFFFF989078,0000000614E0,FFFFFFFFF733,0000000286C2,00000BC10564,FFFFFFCBFCE2,00000000113B,0000011E5BD8,000002019E40,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
125,0000103FA9D3,0000305AAB2E,FFFFFF9E13DA,00000009B8C3,FFFFFFFFF723,000000018EE3,00000B87CA4E,FFFFFFCB29E2,000000000F1E,00000120BC6D,000002010858,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
126,0000109B447C,00002EC1AE74,FFFFFF9C48D5,0000000728DD,FFFFFFFFF719,FFFFFFFDA063,00000B0546CB,FFFFFFC94338,000000000A3A,0000011FD57E,000002013CBF,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
127,00000FC94393,00002DAE47C9,FFFFFF978ED3,00000000B909,FFFFFFFFF72E,FFFFFFFD750A,00000ACF8D84,FFFFFFC87D75,000000000841,0000011EF8F0,00000200048B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
128,00000F0930D1,0000300E15D8,FFFFFF94614B,FFFFFFF8EAEB,FFFFFFFFF71F,00000003E27F,00000AFE13A1,FFFFFFC930BD,000000000A08,0000011C31D3,000002027023,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
129,00000F473D50,000031027872,FFFFFF9566A8,FFFFFFF4C670,FFFFFFFFF712,000000031B18,00000AC78331,FFFFFFC867CA,0000000007FC,000001232677,00000204D3F4,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
130,00000E3CB377,00003094D827,FFFFFF89B527,FFFFFFFFD57C,FFFFFFFFF72A,00000000669E,00000A608F83,FFFFFFC6E8E2,00000000042A,0000011EED3C,000002008F89,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
131,00000E4FF7F8,0000317BC5AC,FFFFFF87AA03,FFFFFFFDF7DD,FFFFFFFFF719,000000022822,00000A6E19D9,FFFFFFC7201F,0000000004AE,00000122ACA1,00000200A339,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
132,00000CFB9A5C,000031BF4737,FFFFFF7F3BE1,000000075F90,FFFFFFFFF70B,000000019D6A,00000A982ECC,FFFFFFC7C2C3,00000000064E,0000012159BE,000002017DC6,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
133,00000D0F9CE4,00002EF629EC,FFFFFF7FB93D,000000072C6F,FFFFFFFFF704,FFFFFFFB8D28,00000A86E291,FFFFFFC78602,0000000005AA,0000011F3312,0000020093D1,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
134,00000C70D8D0,000030C06836,FFFFFF7E8DA3,00000005DBCB,FFFFFFFFF71B,000000024900,00000A8A45F3,FFFFFFC79712,0000000005CE,000001229631,0000020116BF,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
135,00000C1722D7,00002FBBBA89,FFFFFF7D86D3,00000007BD87,FFFFFFFFF70B,FFFFFFFF1DD5,00000AA985A4,FFFFFFC810EE,000000000700,00000122BA1B,000002026091,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
136,00000B7DAEBA,0000317070D1,FFFFFF7B4616,00000003B085,FFFFFFFFF702,00000003182F,00000B0D156B,FFFFFFC98BB4,000000000ABD,000001200EC3,000001FFFAFA,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
137,00000A768A84,00002F807F22,FFFFFF726D3B,00000008AED5,FFFFFFFFF6FD,FFFFFFFD89DC,00000B81ACE2,FFFFFFCB4686,000000000F27,00000122FABB,000002036047,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
138,00000A337B1F,0000305BC4FD,FFFFFF71D3BB,00000007CE04,FFFFFFFFF6ED,00000000DA0C,00000BE61885,FFFFFFCCC472,0000000012ED,00000122A8C2,000002009ED2,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
139,000009B42E1A,0000326301BC,FFFFFF70A048,00000008E803,FFFFFFFFF6E8,000000042767,00000B9DB8A2,FFFFFFCBB867,00000000103D,00000122447D,000001FFB12C,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
140,000009F49DE3,000033018652,FFFFFF71D998,0000000A26DF,FFFFFFFFF6EB,00000002646A,00000B52D6A0,FFFFFFCAA2F7,000000000D6C,000001237FB1,000002016C43,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
141,0000098F9FC8,00003206FAB7,FFFFFF6F6D80,0000000A271D,FFFFFFFFF6D7,FFFFFFFF17CC,00000BB92C6B,FFFFFFCC281F,000000001145,00000122D600,0000020014F4,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
142,000008760551,0000323327C8,FFFFFF6BF69F,000000091BFE,FFFFFFFFF6E5,000000001D1A,00000BDE82DA,FFFFFFCCB8CF,0000000012B7,00000121F333,00000203EBD6,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
143,0000075B5A4A,000030663C23,FFFFFF677535,0000000CA795,FFFFFFFFF6F5,FFFFFFFCD960,00000AD896B9,FFFFFFC8E3E3,0000000008F9,000001202ED5,000001FFAC40,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
144,000006E1EE5E,00003253A86E,FFFFFF664923,0000000CC6D2,FFFFFFFFF6F2,00000002CE09,00000B794941,FFFFFFCB4494,000000000EFC,00000122E2EA,000001FF3822,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
145,0000067B963E,00003348FB2D,FFFFFF649FB5,0000000C520A,FFFFFFFFF6F4,00000002D81F,00000AD61643,FFFFFFC8E2FD,0000000008E3,0000011FCA2B,00000202CF1B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
146,00000583EBDD,000031B98913,FFFFFF5DD3FA,0000000B061A,FFFFFFFFF6D8,FFFFFFFE8236,00000B1187A1,FFFFFFC9C6DE,000000000B2A,00000122CC2B,000001FFB304,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
147,00000562459A,00002FB244F3,FFFFFF5CFB23,0000000B031D,FFFFFFFFF6D3,FFFFFFFBDEE2,00000B0C619F,FFFFFFC9B7C4,000000000AFB,00000122017D,000001FF8A38,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
148,00000489652A,0000328510E4,FFFFFF5A4735,0000000F01F1,FFFFFFFFF6EF,0000000425C3,00000B33D75C,FFFFFFCA5074,000000000C80,00000122AC1B,000002002033,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
149,000003FD7DC3,000031622E50,FFFFFF5680E3,0000000B1415,FFFFFFFFF6D9,FFFFFFFF8E21,00000AC9D77D,FFFFFFC8C606,00000000088D,00000120056D,0000020125C0,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
150,000003BFA0B4,000032D79AD4,FFFFFF561A1F,0000000AF7B9,FFFFFFFFF6D1,0000000297C9,00000A8D82FE,FFFFFFC7E760,00000000064A,0000011B6017,000001FFAB1B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
151,000003A5C8E2,00003162050C,FFFFFF55DF22,0000000AC2E7,FFFFFFFFF6CB,FFFFFFFE4C99,00000A796679,FFFFFFC7A008,00000000058E,00000127988A,000001FFB454,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
152,00000337E7E7,000030EF1F82,FFFFFF542AF2,0000000B9695,FFFFFFFFF6D9,FFFFFFFEB347,00000A83466E,FFFFFFC7C97D,0000000005F7,000001229708,00000204EF73,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
153,000002487F04,000033FCB6F7,FFFFFF5124BA,0000000AFF83,FFFFFFFFF6D5,0000000539B4,00000AC0A450,FFFFFFC8B49F,000000000848,00000120D7E6,00000203188A,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
154,000001B31074,0000323AE8E4,FFFFFF4F6961,0000000739E9,FFFFFFFFF6B4,FFFFFFFFFD61,00000ADAD0BB,FFFFFFC91B5F,000000000948,00000124507D,000002005C6E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
155,000001502975,000032A1C9E4,FFFFFF4E1827,0000000759A0,FFFFFFFFF6B7,000000014CAC,00000B3C9150,FFFFFFCA8F4E,000000000CF9,00000123D173,000001FF4261,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
156,000000CD76F2,00003173157B,FFFFFF4C852F,0000000DEFD4,FFFFFFFFF6AC,FFFFFFFEC2E7,00000B1C2A61,FFFFFFCA19B0,000000000BC9,000001227C26,00000201A1BB,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
157,FFFFFFB92594,000030A03E74,FFFFFF48724F,FFFFFFFB9A71,FFFFFFFFF6D8,FFFFFFFE5F92,00000B9FDEE3,FFFFFFCC0D4D,0000000010C0,0000011EE7B7,000001FED360,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
158,00000036BDF3,000031C4A035,FFFFFF4A96B1,FFFFFFFC22C8,FFFFFFFFF6CE,000000019CDB,00000BAB8E64,FFFFFFCC3D75,00000000112F,0000011E542C,00000200AF6B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
159,FFFFFFEBCF8D,0000350EB130,FFFFFF498682,FFFFFFFC8626,FFFFFFFFF6C4,00000006D9FD,00000BE5D431,FFFFFFCD1CD3,000000001361,000001210DBB,000002047F52,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
160,FFFFFF4F7EAE,00003102A7F9,FFFFFF47E109,FFFFFFFE707A,FFFFFFFFF6DB,FFFFFFFC1A30,00000B0F9DD5,FFFFFFC9FB4D,000000000B63,000001227325,000001FFF54E,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
161,FFFFFEEC085E,00003132EDFE,FFFFFF467900,FFFFFFFC7423,FFFFFFFFF6D4,FFFFFFFF3100,00000A985A57,FFFFFFC83EFE,0000000006EE,000001229421,000002030100,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
162,FFFFFE2ED885,000030D71B49,FFFFFF429809,FFFFFFFADC75,FFFFFFFFF6C1,FFFFFFFF792D,00000B6C38DF,FFFFFFCB602A,000000000EE3,00000120FD04,000002019067,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
163,FFFFFDF595C2,000031E70FAA,FFFFFF429307,FFFFFFFA75F3,FFFFFFFFF6AD,00000002BFB3,00000BE10AFA,FFFFFFCD1BC1,00000000133F,000001291F33,000001FF9EB4,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
164,FFFFFD66FC03,000030FFE01D,FFFFFF40CD68,000000043829,FFFFFFFFF6A8,FFFFFFFF8B00,00000C304608,FFFFFFCE49EC,000000001638,000001254B09,00000201A1C9,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
165,FFFFFD031837,000030D15AB9,FFFFFF3FE276,FFFFFFFF335D,FFFFFFFFF6B2,FFFFFFFFC8D7,00000BC51096,FFFFFFCCBAD4,00000000123D,000001297479,000001FFD127,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
166,FFFFFC1B3EF8,0000307E35FF,FFFFFF4AF34F,FFFFFFF43168,FFFFFFFFF708,FFFFFFFF56B9,00000BE85F14,FFFFFFCD43D1,000000001398,00000123CE2F,000001FF922F,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
167,FFFFFC57BC88,00003063BD1B,FFFFFF4B130F,FFFFFFF685F8,FFFFFFFFF70B,FFFFFFFFCF49,00000BDDEEBC,FFFFFFCD20B1,00000000132F,00000123569E,000001FF6DA0,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
168,FFFFFB5B8283,000031273346,FFFFFF4D850C,FFFFFFF0530E,FFFFFFFFF70C,000000015F8D,00000B6D04CF,FFFFFFCB7C2D,000000000EFB,00000124086D,00000200A9C9,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
169,FFFFFA92EE24,000031992844,FFFFFF49CC61,FFFFFFF9CA78,FFFFFFFFF710,000000015E17,00000B0F6328,FFFFFFCA2037,000000000B84,000001212B73,000001FEE946,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
170,FFFFFA475597,000031856BB3,FFFFFF4AFD77,FFFFFFFB3EFE,FFFFFFFFF703,000000009437,00000B0ADDB1,FFFFFFCA1373,000000000B58,0000012106B1,0000020491FB,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
171,FFFFF96E6426,000030EA882A,FFFFFF46E6AD,FFFFFFFEE1CA,FFFFFFFFF702,FFFFFFFEEE01,00000B647C07,FFFFFFCB68D2,000000000EBE,0000012034DE,0000020287B1,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
172,FFFFF94819D1,000030774510,FFFFFF467240,FFFFFFFDE869,FFFFFFFFF6FC,FFFFFFFEDB7E,00000B61AB26,FFFFFFCB626D,000000000EA3,000001219764,0000020119B9,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
173,FFFFF90BFF4B,00002FB21BC5,FFFFFF45F59D,FFFFFFFD2CB4,FFFFFFFFF6EB,FFFFFFFE3FEF,00000B897E76,FFFFFFCBFC69,000000001028,00000121A804,000002060F4C,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
174,FFFFF840F367,000031D57257,FFFFFF434242,FFFFFFF99C5D,FFFFFFFFF6E6,0000000380F3,00000B2AB44C,FFFFFFCA9C1B,000000000CA1,0000012294BD,0000020073DC,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
175,FFFFF71CC37C,00002F867755,FFFFFF3F6220,00000000DAE2,FFFFFFFFF6F5,FFFFFFFD1DE9,00000B39B6C7,FFFFFFCAD8D1,000000000D3B,0000012178A1,00000203F16E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
176,FFFFF7053F0C,000030342E55,FFFFFF3F0CEE,000000003E71,FFFFFFFFF6E8,0000000060F8,00000B7A77BC,FFFFFFCBD096,000000000FAC,00000122674A,000001FFF1F2,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
177,FFFFF615FF3B,000030F25453,FFFFFF3BAC66,00000003B1FC,FFFFFFFFF6E8,000000019DFA,00000AF965D6,FFFFFFC9EF58,000000000ADA,000001206456,00000206069F,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
178,FFFFF5A80CCE,000030F80CB3,FFFFFF3BA80D,000000041263,FFFFFFFFF6E0,000000016C72,00000AC7E585,FFFFFFC9396A,000000000905,000001200723,00000202CF89,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
179,FFFFF54C511E,000031D1A14D,FFFFFF3A6AB6,000000044E7F,FFFFFFFFF6DE,000000020A01,00000AC30999,FFFFFFC92B66,0000000008D9,000001214AAC,00000205F7D0,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
180,FFFFF55BE21C,00002F8FEE17,FFFFFF3A95BE,000000044DCE,FFFFFFFFF6D3,FFFFFFFD33F3,00000B26D02D,FFFFFFCAA6ED,000000000C96,000001228277,000002016108,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
181,FFFFF5775C13,00002E1A41DA,FFFFFF3ACBF5,00000004513A,FFFFFFFFF6CC,FFFFFFFCBD95,00000AEC766D,FFFFFFC9CFAC,000000000A6A,00000121F357,0000020351F8,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
182,FFFFF4FC544C,0000304422F9,FFFFFF3960FF,000000048FED,FFFFFFFFF6C5,00000003B1D8,00000B33B95D,FFFFFFCADFF0,000000000D18,000001229AA1,000001FFE3CD,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
183,FFFFF3F93781,000030711271,FFFFFF36661F,0000000188E9,FFFFFFFFF6B3,00000001F9F7,00000B311AA3,FFFFFFCADA55,000000000D0C,000001292460,00000200688A,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
184,FFFFF3E5C3F4,000030743895,FFFFFF365CDE,00000001CB39,FFFFFFFFF6A3,0000000131C2,00000B5D9642,FFFFFFCB85D7,000000000EB7,00000123AA52,00000200A4D7,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
185,FFFFF322287C,00002F96A5DB,FFFFFF274F20,0000000A29D5,FFFFFFFFF69B,FFFFFFFF37DF,00000B335A24,FFFFFFCAEB36,000000000D2B,0000011D0D35,0000020183CF,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
186,FFFFF2B8F8A2,00002F89C8BF,FFFFFF275873,00000004921F,FFFFFFFFF6A6,FFFFFFFFD1EF,00000B5BB1BD,FFFFFFCB8729,000000000EB4,000001227CA4,000002002094,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
187,FFFFF2E37DB7,000030A2E5DC,FFFFFF288CFD,00000007D429,FFFFFFFFF693,000000027667,00000B3D14CA,FFFFFFCB1835,000000000D8D,0000012279D3,000001FFD566,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
188,FFFFF27F2B84,00002F3D9E57,FFFFFF27962D,0000000B5E38,FFFFFFFFF694,FFFFFFFE773C,00000A8BC309,FFFFFFC8817C,0000000006ED,00000124899E,00000201DC39,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
189,FFFFF168F22A,00002DBA9808,FFFFFF22F8B4,FFFFFFFAEB92,FFFFFFFFF6D0,FFFFFFFC753B,00000AB6EEA7,FFFFFFC9282B,000000000897,0000011EE7FF,000001FFAEFE,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
190,FFFFF0E92CF7,000030F69DCC,FFFFFF2052C4,FFFFFFF97BE2,FFFFFFFFF6B1,00000004A0FB,00000B11C8BE,FFFFFFCA8225,000000000C0A,0000011DF31A,0000020442A0,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
191,FFFFF03121BB,00002FF12B43,FFFFFF1E07F9,000000067095,FFFFFFFFF6B8,00000000C9BC,00000A61B5DA,FFFFFFC7F021,00000000057C,0000012300DF,00000200EA66,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
192,FFFFEF9D1B76,00002FC59605,FFFFFF21F7D9,00000009790F,FFFFFFFFF6B7,00000000D6B8,00000A357573,FFFFFFC74DFA,0000000003DD,00000126D6FA,000002014ECF,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
193,FFFFEF6F2B9B,00002F24134D,FFFFFF23CFF0,000000089080,FFFFFFFFF6A0,FFFFFFFF6303,00000A7C05F8,FFFFFFC85BAF,000000000682,000001276042,000001FFA4A4,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
194,FFFFEF0C02CD,000030EAF444,FFFFFF23E844,000000041EC1,FFFFFFFFF691,00000003CAE8,00000AE0DB69,FFFFFFC9DB34,000000000A4B,0000011DDF61,000001FFEA21,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
195,FFFFEE7A8C3F,00002E00EDFC,FFFFFF1C0142,0000000A4F74,FFFFFFFFF68C,FFFFFFFBB3DF,00000AC26DD5,FFFFFFC96D01,000000000931,0000012A515C,000001FFFA3C,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
196,FFFFEE3EDFB5,00002D6C19FC,FFFFFF1BD721,00000008196A,FFFFFFFFF68B,FFFFFFFDE701,00000B04B397,FFFFFFCA6A83,000000000BAD,000001261A8E,000001FF7F02,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
197,FFFFED665C3E,00002E9A496E,FFFFFF18EA94,00000000F765,FFFFFFFFF69D,0000000246FB,00000B47CE73,FFFFFFCB6B2A,000000000E3A,000001226136,000001FF9D4F,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
198,FFFFED455ABB,00002D5D2C45,FFFFFF18A4DC,0000000218FA,FFFFFFFFF695,FFFFFFFE9934,00000B3B6831,FFFFFFCB40B6,000000000DC6,000001231B95,00000201AC9E,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
199,FFFFEC4CA774,00002D3DE0CC,FFFFFF14B23D,FFFFFFF1579A,FFFFFFFFF696,FFFFFFFF6E29,00000B6FD6CB,FFFFFFCC0A26,000000000FC1,000001229FBB,000002002DE6,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
200,FFFFEBF7DDF1,00002C8A8873,FFFFFF14A1BD,FFFFFFF12F54,FFFFFFFFF68A,FFFFFFFE6335,00000BBF60FD,FFFFFFCD397D,0000000012C0,0000011FF97F,0000020019F7,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
201,FFFFEBEA9887,00002DAE70EE,FFFFFF166B44,FFFFFFF2E0D2,FFFFFFFFF67A,00000001FC99,00000C4FD829,FFFFFFCF5CFF,000000001824,0000012014D9,000001FF0321,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
202,FFFFEAEC042E,00002BB10519,FFFFFF15B098,00000002338E,FFFFFFFFF676,FFFFFFFCD251,00000B5AB08C,FFFFFFCBC706,000000000EFC,00000121254D,000001FEC98A,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
203,FFFFEB0CE05D,00002D780537,FFFFFF167424,00000004BB47,FFFFFFFFF666,0000000315F0,00000B5DDBF7,FFFFFFCBD719,000000000F19,00000128A654,000002002F1F,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
204,FFFFEA7B0D7E,00002B7D529A,FFFFFF14D17F,000000093A03,FFFFFFFFF64F,FFFFFFFD3EC1,00000C47A9B0,FFFFFFCF4AB0,0000000017E1,000001286874,000002002C84,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
205,FFFFE9EC1212,00002C82812B,FFFFFF12EA06,00000005BBBD,FFFFFFFFF65D,00000001786B,00000C3E8BF0,FFFFFFCF2C83,00000000178B,000001240CF0,000002008495,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
